id,created_datetime,customer_id,device_id,driver_id,type_id,use_case_id,working_hour_id,end_date,start_date,status_id,vehicle_id,end_date_time,start_date_time,id,name,start_date,end_date,created_datetime,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time,sunday_start_time,sunday_end_time,is_valid,customer_id,module_id,use_case_id,status_id,selectShift
44,2021-11-07 09:26:42.50477+00,58,,300,38,1,,2021-11-08 09:18:16+00,2021-11-07 09:18:14+00,12,295,2021-11-08 09:18:16+00,2021-11-07 09:18:14+00,,,,,,,,,,,,,,,,,,,,,,,,,
47,2021-11-07 16:29:01.166937+00,58,,299,38,1,,2021-11-09 16:28:56+00,2021-11-07 16:28:50+00,1,295,2021-11-09 16:28:56+00,2021-11-07 16:28:50+00,,,,,,,,,,,,,,,,,,,,,,,,,
53,2021-11-10 15:14:55.837561+00,21,,279,38,1,,2021-11-10 13:48:28+00,2021-11-07 13:48:22+00,12,192,2021-11-10 13:48:28+00,2021-11-07 13:48:22+00,,,,,,,,,,,,,,,,,,,,,,,,,
54,2021-11-10 15:15:39.007784+00,21,,292,38,1,,2021-11-10 13:48:28+00,2021-11-07 13:48:22+00,12,192,2021-11-10 13:48:28+00,2021-11-07 13:48:22+00,,,,,,,,,,,,,,,,,,,,,,,,,
103,2022-04-24 07:58:31.524538+00,9,,583,38,1,,2022-03-03 01:24:21+00,2022-03-01 01:24:19+00,12,415,2022-03-03 01:24:21+00,2022-03-01 01:24:19+00,,,,,,,,,,,,,,,,,,,,,,,,,
58,2021-11-28 18:08:59.416304+00,21,,349,38,1,,2021-11-30 18:07:48+00,2021-11-01 18:07:46+00,1,188,2021-11-30 18:07:48+00,2021-11-01 18:07:46+00,,,,,,,,,,,,,,,,,,,,,,,,,
60,2021-11-28 18:39:32.026096+00,21,,355,38,1,,2021-11-30 18:38:26+00,2021-11-15 18:38:21+00,1,209,2021-11-30 18:38:26+00,2021-11-15 18:38:21+00,,,,,,,,,,,,,,,,,,,,,,,,,
62,2021-11-29 10:05:25.302554+00,21,,366,38,1,,2021-11-02 10:05:24+00,2021-11-02 10:05:22+00,1,187,2021-11-02 10:05:24+00,2021-11-02 10:05:22+00,,,,,,,,,,,,,,,,,,,,,,,,,
48,2021-11-09 09:00:09.466676+00,21,,292,38,1,,2021-11-09 08:57:30+00,2021-11-01 08:57:28+00,12,,2021-11-09 08:57:30+00,2021-11-01 08:57:28+00,,,,,,,,,,,,,,,,,,,,,,,,,
49,2021-11-09 11:08:06.151873+00,21,,292,38,1,,2021-11-05 08:57:30+00,2021-11-01 08:57:28+00,12,,2021-11-05 08:57:30+00,2021-11-01 08:57:28+00,,,,,,,,,,,,,,,,,,,,,,,,,
50,2021-11-10 13:47:29.95689+00,21,,292,38,1,,2021-11-11 08:57:30+00,2021-11-01 08:57:28+00,12,,2021-11-11 08:57:30+00,2021-11-01 08:57:28+00,,,,,,,,,,,,,,,,,,,,,,,,,
51,2021-11-10 13:48:49.805149+00,21,,292,38,1,,2021-11-08 13:47:06+00,2021-11-07 13:47:02+00,12,,2021-11-08 13:47:06+00,2021-11-07 13:47:02+00,,,,,,,,,,,,,,,,,,,,,,,,,
52,2021-11-10 15:14:45.274833+00,21,,279,38,1,,2021-11-10 13:48:28+00,2021-11-07 13:48:22+00,12,,2021-11-10 13:48:28+00,2021-11-07 13:48:22+00,,,,,,,,,,,,,,,,,,,,,,,,,
55,2021-11-29 13:25:29.313971+00,21,,292,38,1,,2021-11-10 13:48:28+00,2021-11-07 13:48:22+00,12,,2021-11-10 13:48:28+00,2021-11-07 13:48:22+00,,,,,,,,,,,,,,,,,,,,,,,,,
63,2021-11-29 13:25:36.105985+00,21,,368,38,1,,2021-11-10 13:16:29+00,2021-11-02 13:16:27+00,12,,2021-11-10 13:16:29+00,2021-11-02 13:16:27+00,,,,,,,,,,,,,,,,,,,,,,,,,
61,2021-11-30 08:47:00.46569+00,21,,360,38,1,,2021-11-01 07:44:57+00,2021-11-01 07:44:53+00,12,,2021-11-01 07:44:57+00,2021-11-01 07:44:53+00,,,,,,,,,,,,,,,,,,,,,,,,,
43,2021-09-23 10:42:59.287988+00,21,,279,38,1,,2021-09-10 10:38:15+00,2021-09-03 10:38:13+00,12,,2021-09-10 10:38:15+00,2021-09-03 10:38:13+00,,,,,,,,,,,,,,,,,,,,,,,,,
