id,name,description,created_at,modified_at,created_by_id,customer_id,modified_by_id,module_id,status_id,use_case_id,is_poi
6,THE ONLY SOLUTION,,2021-07-01 12:48:29.848843+00,2021-07-01 16:09:28.121751+00,65,14,65,1,1,1,
8,All,,2021-09-21 17:07:35.320659+00,2021-09-21 17:07:35.320682+00,160,24,160,1,1,1,
5,All,,2021-06-09 13:42:14.425878+00,2021-10-04 09:44:44.227492+00,59,13,59,1,"0",1,
9,DECC,,2021-10-04 09:47:32.579338+00,2021-10-04 09:47:32.57936+00,59,13,59,1,1,1,
2,png,,2021-05-29 13:47:00.955272+00,2021-05-29 13:47:00.955291+00,18,,18,1,1,1,
1,HnQA,,2021-05-29 13:12:38.006275+00,2021-06-04 12:33:24.364067+00,15,,15,1,1,1,
10,Redlogik,,2021-10-14 10:13:05.141568+00,2021-10-14 10:13:05.141593+00,77,20,77,1,1,1,
11,All,,2021-10-23 06:25:04.928448+00,2021-10-23 06:25:04.928474+00,256,58,256,1,1,1,
13,All,,2021-11-29 06:36:26.412226+00,2021-11-29 10:21:49.083166+00,298,123,298,1,1,1,
7,All,,2021-08-31 09:21:48.721039+00,2021-11-30 08:47:25.590942+00,78,21,78,1,"0",1,
16,All,,2021-12-01 07:53:32.226807+00,2021-12-01 12:04:36.720738+00,312,149,312,1,1,1,
15,Fleet 1,,2021-11-30 11:45:25.836096+00,2021-12-07 08:32:08.201908+00,47,9,47,1,"0",1,
4,Test fleet,,2021-06-07 07:20:22.878055+00,2021-12-20 10:19:25.247836+00,52,10,52,1,1,1,
18,ismafleet,,2021-12-29 09:29:54.801192+00,2021-12-29 09:29:54.801213+00,383,195,383,1,1,1,
12,All,,2021-11-20 16:32:12.361688+00,2022-01-13 04:55:33.570349+00,259,62,259,1,1,1,
21,Qa fleet,,2022-01-13 21:48:01.269266+00,2022-01-13 21:48:01.269288+00,405,199,405,1,1,1,
22,test,,2022-01-13 22:50:13.407134+00,2022-01-13 22:50:13.407154+00,409,202,409,1,1,1,
23,QA Fleet,,2022-01-14 12:20:40.736828+00,2022-01-14 12:20:40.736849+00,411,203,411,1,1,1,
24,test,,2022-01-27 22:13:49.297856+00,2022-01-27 22:13:49.297875+00,420,212,420,1,1,1,
25,QA,,2022-01-27 22:37:12.649037+00,2022-01-27 22:37:12.649057+00,426,214,426,1,1,1,
