id,created_datetime,customer_id,device_id,driver_id,type_id,use_case_id,working_hour_id,end_date,start_date,status_id,vehicle_id,end_date_time,start_date_time,id,name,start_date,end_date,created_datetime,monday_start_time,monday_end_time,tuesday_start_time,tuesday_end_time,wednesday_start_time,wednesday_end_time,thursday_start_time,thursday_end_time,friday_start_time,friday_end_time,saturday_start_time,saturday_end_time,sunday_start_time,sunday_end_time,is_valid,customer_id,module_id,use_case_id,status_id,selectShift
45,2021-11-07 09:19:13.185279+00,58,,300,37,1,8,2021-11-08 09:19:09+00,2021-11-07 09:19:05+00,1,,2021-11-08 09:19:09+00,2021-11-07 09:19:05+00,8,DOHA A MORNING,2021-11-07,2021-11-27,2021-11-07 09:16:14.212195+00,"06:30:00",14:30:00,"06:30:00",14:30:00,"06:30:00",14:30:00,"06:30:00",14:30:00,"06:30:00",14:30:00,"06:30:00",14:30:00,"03:00:00",10:00:00,1,58,1,1,1,1
46,2021-11-07 09:19:30.490772+00,58,,299,37,1,9,2021-11-08 09:19:27+00,2021-11-07 09:19:24+00,1,,2021-11-08 09:19:27+00,2021-11-07 09:19:24+00,9,DOHA A EVENING,2021-11-07,2021-11-27,2021-11-07 09:15:33.753641+00,14:30:00,22:30:00,14:30:00,22:30:00,14:30:00,22:30:00,14:30:00,22:30:00,14:30:00,22:30:00,14:30:00,22:30:00,11:00:00,20:00:00,1,58,1,1,1,2
59,2021-11-28 18:10:38.071105+00,21,,349,37,1,10,2021-11-29 00:00:00+00,2021-11-28 18:09:34+00,1,,2021-11-29 00:00:00+00,2021-11-28 18:09:34+00,10,fa,2021-11-28,2021-11-29,2021-11-28 18:10:17.413858+00,"06:30:00",14:30:00,,,,,,,,,,,"06:30:00",14:30:00,1,21,1,1,1,1
68,2021-12-01 09:35:11.274211+00,149,,386,37,1,12,2022-12-01 00:00:00+00,2021-12-01 09:34:46+00,1,,2022-12-01 00:00:00+00,2021-12-01 09:34:46+00,12,Area 1,2021-12-01,2022-12-01,2021-12-01 09:34:26.740141+00,"01:30:00",12:30:00,"01:30:00",12:30:00,"01:30:00",12:30:00,"01:30:00",12:30:00,"01:30:00",12:30:00,"01:30:00",12:30:00,"01:30:00",12:30:00,1,149,1,1,1,1
66,2022-04-24 08:14:08.357153+00,9,,174,37,1,11,2021-12-01 00:00:00+00,2021-11-30 11:59:18+00,12,,2021-12-01 00:00:00+00,2021-11-30 11:59:18+00,11,Shift 1,2021-11-30,2021-12-01,2022-04-24 08:14:08.336863+00,,,"06:30:00",14:30:00,"06:30:00",14:30:00,,,,,,,,,1,9,1,1,12,1
65,2022-04-24 08:14:08.360448+00,9,,375,37,1,11,2021-12-01 00:00:00+00,2021-11-30 11:59:00+00,12,,2021-12-01 00:00:00+00,2021-11-30 11:59:00+00,11,Shift 1,2021-11-30,2021-12-01,2022-04-24 08:14:08.336863+00,,,"06:30:00",14:30:00,"06:30:00",14:30:00,,,,,,,,,1,9,1,1,12,1
102,2022-03-01 01:17:28.481803+00,146,,575,37,1,17,2022-03-03 01:17:26+00,2022-03-03 01:17:23+00,1,,2022-03-03 01:17:26+00,2022-03-03 01:17:23+00,17,h,2022-03-03,2022-03-11,2022-02-28 21:40:50.737587+00,20:30:00,"04:30:00",20:30:00,"04:30:00",20:30:00,"04:30:00",20:30:00,"04:30:00",20:30:00,"04:30:00",20:30:00,"04:30:00",20:30:00,"04:30:00",1,146,1,1,1,3
99,2022-03-14 07:04:13.316665+00,146,,310,37,1,17,2022-03-08 21:40:58+00,2022-03-07 21:40:56+00,12,,2022-03-08 21:40:58+00,2022-03-07 21:40:56+00,17,h,2022-03-03,2022-03-11,2022-02-28 21:40:50.737587+00,20:30:00,"04:30:00",20:30:00,"04:30:00",20:30:00,"04:30:00",20:30:00,"04:30:00",20:30:00,"04:30:00",20:30:00,"04:30:00",20:30:00,"04:30:00",1,146,1,1,1,3
106,2022-03-14 08:09:27.903413+00,146,,599,37,1,18,2022-03-21 06:53:32+00,2022-03-18 06:53:30+00,12,,2022-03-21 06:53:32+00,2022-03-18 06:53:30+00,18,DDrive,2022-03-17,2022-03-23,2022-03-14 08:09:27.879015+00,12:30:00,20:30:00,12:30:00,20:30:00,12:30:00,20:30:00,12:30:00,20:30:00,12:30:00,20:30:00,12:30:00,20:30:00,12:30:00,20:30:00,1,146,1,1,12,2
111,2022-04-22 05:20:59.778812+00,146,,610,37,1,19,2022-03-23 00:00:00+00,2022-03-22 05:17:57+00,12,,2022-03-23 00:00:00+00,2022-03-22 05:17:57+00,19,Newshiftfortesting,2022-03-22,2022-05-26,2022-04-22 05:20:59.765528+00,,,,,,,,,,,,,,,1,146,1,1,12,1
