id,imei,customer_id,make,model,sim_number,vehicle_id,created_datetime
856,2903920,3755,MK290,2018,9309024,852,2022-11-17 10:01:33.669382+00
845,52525234,3685,2020,2021,525234235,825,2022-11-13 07:26:51.659208+00
844,29824932098,3685,2021,2021,34534564,824,2022-11-13 07:26:37.860695+00
818,d6e558ab4dd723b8,146,yjf,3,1234567,446,2022-11-09 11:38:42.007581+00
810,22,9,rr,2001,33,636,2022-10-19 21:17:16.51281+00
799,653F86D878C24093BF2A2F6B89D4EB7A,146,apple,10,59976590,726,2022-10-02 12:32:14.785436+00
747,9089F09D1A1B486E9E5D70703C0D1C81,9,test,2021,70899301,678,2022-08-11 07:43:54.559276+00
661,1ee11c9bea30ab1d,146,1989,1989,1234,596,2022-04-27 09:12:51.791603+00
633,8F8AD519C9144F338B2BF44A58310806,146,2022,2022,63596,614,2022-03-29 08:19:36.837933+00
592,653e2f748ead20af,9,Redmi,12,97430557456,307,2022-03-01 01:13:54.850117+00
582,c19084576096e91f,9,hh,2012,8888,415,2022-02-28 19:27:26.820408+00
518,868698032264824,213,abc,2021,5678888888888888888,506,2022-01-27 23:43:28.212027+00
491,DAE71D935D6E41809B82AA3EE6FD0946,199,2020,2020,12345678,489,2022-01-24 11:36:05.35742+00
365,6c65a73314ff30ef,21,hu,2,4769,187,2021-11-29 10:02:31.373625+00
351,864085046261190,21,Huwaie,123,30589174,188,2021-11-28 18:26:15.240211+00
164,8F8AD519C9144F338B2BF44A58310806,9,apple,7,33835496,304,2021-06-30 10:55:05.123809+00
